tweetler,tarih
"21 Mart 1986 tarihinde:
Microsoft'a yatırılan 1000 dolar:
bugün yaklaşık 700.000 Dolar
ve bu kar dağılımını içermiyor.",7 Mar 2017
"Dolar endeksinin düşük seyretmesi,
Türkiye'ye yarıyor.
Ancak bu ferahlama kalıcı sanılmasın.",18 May 2017
"Merkez Bankası:
Yabancı para mevduatlarına olan zorunlu karşılığı arttırdı.
Türkçesi:
Bankadaki Döviz mevduatlarınızdan 2.1 Milyar Dolar para daha Merkez Bankasına gidiyor.",20 Eyl 2019
"Dolar/TL 13 Eylül tarihinde,
Bir faiz artışı olma ihtimalini fiyatlıyor.
Son dönemdeki rahatlama bundan ötürü.",10 Eyl 2018
"Amazon'nun ($AMZN) yıllara göre cirosu şu şekilde:
2014: 88 Milyar Dolar
2015: 107 Milyar Dolar
2016: 136 Milyar Dolar
2017: 177 Milyar Dolar
2018: 232 Milyar Dolar",30 Oca 2020
"Arkadaşlar Bana:
Ekonomi, Yatırımlarınız, Üniversite, Dolar, Altın, Digital Para, Kariyer Planlaması, Master, Yurtdışı eğitim 
Hakkında her gün yüzlerce mesaj geliyor. Benim bu mesajlara birer birer dönmem Teknik olarak, Matematiksel olarak gerçekten imkansız. Özür Dilerim...",6 Ağu 2018
"Amerika’da gecelik piyasada ciddi para sıkışıklığı var. FED’in 53 Milyar dolar enjekte etmesi bundan. Piyasaya, bir 75 Milyar Dolar daha vermesine hazır olun.",18 Eyl 2019
"Dolar: 6.17
Euro: 6.91
Faiz: 24.06%
Varil-Petrol: 439 TL
Kilo-Altın: 255,000 TL
Bitcoin: 35,900 TL ...",7 May 2019
"TCMB’nin duyurusunun anlamı şu:
1)Ben faizi şu anda direkt arttıramıyorum.
2)Dolar/TL kontrolden çıktığı için piyasaya verdiğim ucuz TL’yi kısıyorum.
3)TL bulamayanlar elindeki doları, fonları vs satmak zorunda kalsın.
4)Ben faizi direkt artıramasam bile piyasa faizleri artsın...",11 Ağu 2020
"Piyasaya TL verildi, Swap faizleri aşağıya serbest indi. 3 günlük tarihsel anların ardından değerlendirme dönemindeyiz. Dolar/TL yi 5.80’den 5.50’ye indirdik, Borsa’yı %10 erittik, piyasa Faizlerini %3 arttırtdık. Taşlar ve kurbağalar.",28 Mar 2019
"Bir ülkenin (şirketin) Dolar rezervleri (Nakti) o ülkenin cephanesidir.
Cephaneyi güçlü gözükmek için havaya sıkarsanız,
En gerekli zamanda çıplak kalırsınız.
Akbabalar (Tefeciler) size yanaşır,
Tefeciler sonuç, Rezervlerin yanlış harcanması nedendir.",12 Nis 2020
"Amerikan Merkez Bankası bilançosunu 6 Trilyon dolara çıkardı.
Yani:
40 gün içinde 2 Trilyon Dolar ekstra.
Varlık fiyatları böyle yükseltiliyor.
Zenginler daha zengin.
Fakirler ise daha Fakir oluyor.",10 Nis 2020
"Amazon, Volskwagen ve Google’ın bir yıllık Araştırma ve Geliştirmeye harcadıkları para: 50 Milyar Dolar",6 Eyl 2018
Avustralya ekonomi destek paketine gelecek altı ay için 80 Milyar Dolar daha koyuyor.,30 Mar 2020
"Amerikan Doları için olan talep patlamasından ötürü, Amerikan Merkez Bankası Dolar Swap kapasitesinde artışa gidiyor. Zor zamanlarda herkes kendi parasını bıraktı Dolar almaya başladı. Pound'dan, Ruble'ye, Avusturalya Dolarından, Euro'ya her şey Amerikan Doları karşısında eriyor.",19 Mar 2020
2020 sonu (2019 değil) Dolar/TL kuru kaç olur ?,14 Şub 2019
Bir yıl sonraki Dolar/TL tahmininiz:,20 Nis 2019
"Dolar: 4.99
Euro: 5.82
Faiz: 21.06%
Varil-Petrol: 363 TL
Kilo-Altın: 194,000 TL
Bitcoin: 37,550 TL ...",1 Ağu 2018
"Dolar/TL 5.87
1) Piyasalara güven aşılanması şart.
2) Merkez Bankası acilen kontrolün kendisinde olduğunu göstermeli.
3) TL'ye dönüş sağlanması için, Mevduat faizleri üzerindeki baskı kalkmalı.
4) Yatırımcı enflasyona yedirilmemeli.",24 Nis 2019
"Singapur'da
Kişi başı teknolojik ihracat:
26 BİN dolar
Türkiye'de
Kişi başı teknolojik ihracat:
27 dolar !
Bu rakamlar Mazeret kaldırmaz.",3 Tem 2017
2018 Sonu Dolar tahmininiz nedir?,28 Haz 2018
2017 sonu Dolar/TL Beklentiniz ?,28 Oca 2017
"Apple açıkladı:
Kasasında 246 Milyar Dolar Nakit var.
Bu para:
Türkiye'nin: Tüm borcunu öder.
Türkiye'nin: Tüm şirketlerini satın alır.",1 Şub 2017
"Rezervlerimizi Şak Şak satacaklarını kimse düşünmemişti. Şaka yapıyorlar sandı çoğu kimse. Gerçekmiş. Merkez Bankasının rezervleri Dolar/TLyi tutmaya yeterli değil! Kaç kez yazdım ve söyledim.
Dolarda bir şok daha yenirse, Enflasyon da kontrolden çıkacaktır. Üzücü gerçekten üzücü",8 May 2019
"Türk Lirası, 2020 yılında, Dolar karşısında en çok değer Kaybeden para oldu ... :(",3 Kas 2020
"Türkiye'de Sektörün Döviz Açığı:
15 Yıl önce:
19 Milyar Dolar
Şu anda:
203 Milyar Dolar ...",28 Şub 2019
"Sterlin Dolar karşısında paramparça.
İngiltere’nin dahiyane fikri elbetteki temelden yanlıştı. 
İngilizler bu işten bayaa yaralanmış çıkacaklar, herkes gibi..",18 Mar 2020
"Amazon Bilançosunu açıkladı.
Sadece 3 aylık cirosu:
96.2 Milyar Dolar
Yani yaklaşık 800 Milyar TL.
Sadece 3 aylık,
Sadece 3...",29 Eki 2020
"Amazon, Google ve Volkswagen'nin
YILLIK ARGE harcaması: 55 Milyar Dolar.
Bu 3 şirketin Araştırmaya 3 yıl boyunca
harcadığı para:
Türkiye'nin tüm halka açık şirketlerini
satın alır...",28 Oca 2019
"Dolar: 8.50
Yazık
",3 Kas 2020
2019 sonu için (2018 değil) Dolar tahmininiz nedir ?,30 Haz 2018
"ABD:
Her vatandaşına 1000 Dolar aktarmayı düşünüyor (Nisan Sonu).
Ayrıca virüs ile savaş için 1.2 Trilyon Dolar ayrılacak.",17 Mar 2020
"Dolar/TL: 7.33
Euro/TL: 8.63
1 KG Altın: 478,266 TL
BTC: 87,500 TL
ETH: 2,900 TL
Gösterge Faiz: 13%",10 Ağu 2020
"Dolar: 4.45
Euro: 5.28
Faiz: 17.15%
Varil-Petrol: 352 TL
Kilo-Altın: 186,000 TL ...",15 May 2018
"Bugün itibari ile Elon Musk, Jeff Bezos’u geçerek, Dünya’nın en zengin insanı oldu. Net varlığı 188 Milyar Dolar...

Yani 1 Trilyon 400 Milyar Türk lirası...",7 Oca
"Amerikan merkez bankası bilançosu 6.6 Trilyon Dolar oldu. Para bas bas nereye kadar? Bu karşılıksız basılan paralar ABD`nin başını feci ağrıtacak... Ekonomiyi yanlış yönet, sonra her sorunun üstünü para ile kapatmaya çalış ",1 May 2020
"Dolar/TL daha fazla artmasın diye TL’nin konvertibilitesi bitirildi.
Bu methodun zararları, yararlarından çok daha fazla...",14 Nis 2020
"Amazon'un kurucusu Jeff Bezos geçen hafta beklenenden biraz daha fazla hissesini satmış. 
Geçen hafta sattığı Hisse sayısı: 1.5 Milyon Adet.
Eline bu satıştan geçen Nakit 2.83 Milyar Dolar
Hala Elinde tuttuğu Amazon Hisse sayısı:
57 Milyon 611 Bin Adet.",6 Ağu 2019
"Dolar/TL ile ilgili 2017 başından beri yorum yapmadım.
Bugün ise şu söylenebilir.
1 yıl önce Doları 5.50-5.80 arasında tutmak için onca takla atılıp rezervler satılmasa, Swap işlemi yapılmasaydı,
Bugün elimizde, ülkece cephanemiz olurdu. Şimdi Dolara ihtiyacımız var ve ...",16 Nis 2020
"Tarihi zamanlardan geçiyoruz.
Amerikan Merkez Bankası SONSUZ parayla finansal varlıkları satın alacağım dedi... SONSUZ !
Yani elimdeki tüm parayı (ki bir tuşa basarak sonsuz Dolar üretebilirim diyor), sorunun üzerine fışkırtacağım dedi. Finansal piyasalar da olumlu tepki veriyor.",23 Mar 2020
"Cumhurbaşkanı:
Bağımsız Merkez Bankası,
Faiz dahil tüm araçların kullanılması,
Dış yatırım çekilmesi,
Yargı ve Hukuk reformu,
Güçlü Bağımsız Kurumlar,
diyince Dolar/TL düştü...
Hani DIŞ MİHRAKLAR dan artıyordu? Böylece bir şehir efsanesinin de sonuna gelindi. Trollerin gözü yaşlı",13 Kas 2020
"Dolar/TL, Dolara talep artınca artar.
Dolara talep, Türk şirket ve hükümeti Dolara ihtiyaç duyunca artar.
Şirketlerin Ve Hükümetin Dolar ihtiyacı, Cari açık artınca artar.
Cari açık, katma değerli ve ara mal üretemeyince artar.
Evrensel eğitim yoksa bunlar üretilemez, Dolar artar",23 Eyl 2018
"Hükümet ikilemde:
Faizi artırıp, piyasadaki TL’yi çekse,
Dolar/TL düşüyor ama inşaat sektörü batıyor, piyasa donuyor.
Vergiyi düşürüp, bir de piyasaya kredi püskürtse, piyasa canlanıyor ama Dolar/TL patlıyor.
İşte böyle Sakal-Bıyık arasında kalmamak için Yapısal reform diyoruz..!",31 Eki 2018
1) Londra piyasasında Dolar /TL swap faizleri %90 sonra da%200 leri geçti. Bu bir çok kişinin dikkatini çekti. Malum Finansal okur yazarlık seviyesi düşük olunca da bir çok bilgi kirliliği peş peşe geldi. Kısaca bu konuda yazacağım. Dün de yazdım oradan alıntı ile başlayayım.,26 Mar 2019
"ABD, Vatandaşları için:
6 Trilyon Dolarlık Paket açıkladı.
6 Trilyon Dolar yani  bir Amerikalı için 18 Bin Dolar'lık paket.
Paketin TL cinsinden kişi başına düşen kısmı 117,000 TL.
Yani Milli Gelirlerinin neredeyse %30'u kadar...",27 Mar 2020
"Norveç'in Nüfusu 5.3 Milyon.
Norveç Devlet Varlık Fonunda: 1 Trilyon Dolar birikti.
Kişi başına: 189 Bin Dolar düşüyor !
Corona Krizini Norveç vatandaşları konforlu atlatır...",27 Mar 2020
"Amerikan Üniversitesi MIT,
1 Milyar Dolar harcayarak yeni bir yapay zeka fakültesi kuruyor.
Sadece bir para fonu sahibinin verdiği yardım parası 350 Milyon Dolar.",16 Eki 2018
"Şimdi tam haber geldi.
ABD virüsün ekonomik tahribatını durdurabilmek için önce:
850 milyar dolar, sonra,
1 Trilyon dolar, sonra,
1.2 Trilyon dolar, sonra
1.3 Trilyon dolar harcayacağım dedi.
Şimdi de miktarı 2 Trilyon dolara çıkaracaklarını açıklıyorlar...",21 Mar 2020
"Cumhurbaşkanı:
Bağımsız Merkez Bankası,
Faiz dahil tüm araçların kullanılması,
Dış yatırım çekilmesi,
Yargı ve Hukuk reformu,
Güçlü Bağımsız Kurumlar,
diyince Dolar/TL düştü...
Hani DIŞ MİHRAKLAR dan artıyordu? Böylece bir şehir efsanesinin de sonuna gelindi. Trollerin gözü yaşlı",13 Kas 2020
"Dolar/TL, Dolara talep artınca artar.
Dolara talep, Türk şirket ve hükümeti Dolara ihtiyaç duyunca artar.
Şirketlerin Ve Hükümetin Dolar ihtiyacı, Cari açık artınca artar.
Cari açık, katma değerli ve ara mal üretemeyince artar.
Evrensel eğitim yoksa bunlar üretilemez, Dolar artar",23 Eyl 2018
"Hükümet ikilemde:
Faizi artırıp, piyasadaki TL’yi çekse,
Dolar/TL düşüyor ama inşaat sektörü batıyor, piyasa donuyor.
Vergiyi düşürüp, bir de piyasaya kredi püskürtse, piyasa canlanıyor ama Dolar/TL patlıyor.
İşte böyle Sakal-Bıyık arasında kalmamak için Yapısal reform diyoruz..!",31 Eki 2018
1) Londra piyasasında Dolar /TL swap faizleri %90 sonra da%200 leri geçti. Bu bir çok kişinin dikkatini çekti. Malum Finansal okur yazarlık seviyesi düşük olunca da bir çok bilgi kirliliği peş peşe geldi. Kısaca bu konuda yazacağım. Dün de yazdım oradan alıntı ile başlayayım.,26 Mar 2019
"ABD, Vatandaşları için:
6 Trilyon Dolarlık Paket açıkladı.
6 Trilyon Dolar yani  bir Amerikalı için 18 Bin Dolar'lık paket.
Paketin TL cinsinden kişi başına düşen kısmı 117,000 TL.
Yani Milli Gelirlerinin neredeyse %30'u kadar...",27 Mar 2020
"Norveç'in Nüfusu 5.3 Milyon.
Norveç Devlet Varlık Fonunda: 1 Trilyon Dolar birikti.
Kişi başına: 189 Bin Dolar düşüyor !
Corona Krizini Norveç vatandaşları konforlu atlatır...",27 Mar 2020
"Amerikan Üniversitesi MIT,
1 Milyar Dolar harcayarak yeni bir yapay zeka fakültesi kuruyor.
Sadece bir para fonu sahibinin verdiği yardım parası 350 Milyon Dolar.",16 Eki 2018
"Şimdi tam haber geldi.
ABD virüsün ekonomik tahribatını durdurabilmek için önce:
850 milyar dolar, sonra,
1 Trilyon dolar, sonra,
1.2 Trilyon dolar, sonra
1.3 Trilyon dolar harcayacağım dedi.
Şimdi de miktarı 2 Trilyon dolara çıkaracaklarını açıklıyorlar...",21 Mar 2020
"Cumhurbaşkanı:
Bağımsız Merkez Bankası,
Faiz dahil tüm araçların kullanılması,
Dış yatırım çekilmesi,
Yargı ve Hukuk reformu,
Güçlü Bağımsız Kurumlar,
diyince Dolar/TL düştü...
Hani DIŞ MİHRAKLAR dan artıyordu? Böylece bir şehir efsanesinin de sonuna gelindi. Trollerin gözü yaşlı",13 Kas 2020
"Dolar/TL, Dolara talep artınca artar.
Dolara talep, Türk şirket ve hükümeti Dolara ihtiyaç duyunca artar.
Şirketlerin Ve Hükümetin Dolar ihtiyacı, Cari açık artınca artar.
Cari açık, katma değerli ve ara mal üretemeyince artar.
Evrensel eğitim yoksa bunlar üretilemez, Dolar artar",23 Eyl 2018
"Hükümet ikilemde:
Faizi artırıp, piyasadaki TL’yi çekse,
Dolar/TL düşüyor ama inşaat sektörü batıyor, piyasa donuyor.
Vergiyi düşürüp, bir de piyasaya kredi püskürtse, piyasa canlanıyor ama Dolar/TL patlıyor.
İşte böyle Sakal-Bıyık arasında kalmamak için Yapısal reform diyoruz..!",31 Eki 2018
1) Londra piyasasında Dolar /TL swap faizleri %90 sonra da%200 leri geçti. Bu bir çok kişinin dikkatini çekti. Malum Finansal okur yazarlık seviyesi düşük olunca da bir çok bilgi kirliliği peş peşe geldi. Kısaca bu konuda yazacağım. Dün de yazdım oradan alıntı ile başlayayım.,26 Mar 2019
"ABD, Vatandaşları için:
6 Trilyon Dolarlık Paket açıkladı.
6 Trilyon Dolar yani  bir Amerikalı için 18 Bin Dolar'lık paket.
Paketin TL cinsinden kişi başına düşen kısmı 117,000 TL.
Yani Milli Gelirlerinin neredeyse %30'u kadar...",27 Mar 2020
"Norveç'in Nüfusu 5.3 Milyon.
Norveç Devlet Varlık Fonunda: 1 Trilyon Dolar birikti.
Kişi başına: 189 Bin Dolar düşüyor !
Corona Krizini Norveç vatandaşları konforlu atlatır...",27 Mar 2020
"Amerikan Üniversitesi MIT,
1 Milyar Dolar harcayarak yeni bir yapay zeka fakültesi kuruyor.
Sadece bir para fonu sahibinin verdiği yardım parası 350 Milyon Dolar.",16 Eki 2018
"Şimdi tam haber geldi.
ABD virüsün ekonomik tahribatını durdurabilmek için önce:
850 milyar dolar, sonra,
1 Trilyon dolar, sonra,
1.2 Trilyon dolar, sonra
1.3 Trilyon dolar harcayacağım dedi.
Şimdi de miktarı 2 Trilyon dolara çıkaracaklarını açıklıyorlar...",21 Mar 2020
"Cumhurbaşkanı:
Bağımsız Merkez Bankası,
Faiz dahil tüm araçların kullanılması,
Dış yatırım çekilmesi,
Yargı ve Hukuk reformu,
Güçlü Bağımsız Kurumlar,
diyince Dolar/TL düştü...
Hani DIŞ MİHRAKLAR dan artıyordu? Böylece bir şehir efsanesinin de sonuna gelindi. Trollerin gözü yaşlı",13 Kas 2020
"Dolar/TL, Dolara talep artınca artar.
Dolara talep, Türk şirket ve hükümeti Dolara ihtiyaç duyunca artar.
Şirketlerin Ve Hükümetin Dolar ihtiyacı, Cari açık artınca artar.
Cari açık, katma değerli ve ara mal üretemeyince artar.
Evrensel eğitim yoksa bunlar üretilemez, Dolar artar",23 Eyl 2018
"Hükümet ikilemde:
Faizi artırıp, piyasadaki TL’yi çekse,
Dolar/TL düşüyor ama inşaat sektörü batıyor, piyasa donuyor.
Vergiyi düşürüp, bir de piyasaya kredi püskürtse, piyasa canlanıyor ama Dolar/TL patlıyor.
İşte böyle Sakal-Bıyık arasında kalmamak için Yapısal reform diyoruz..!",31 Eki 2018
1) Londra piyasasında Dolar /TL swap faizleri %90 sonra da%200 leri geçti. Bu bir çok kişinin dikkatini çekti. Malum Finansal okur yazarlık seviyesi düşük olunca da bir çok bilgi kirliliği peş peşe geldi. Kısaca bu konuda yazacağım. Dün de yazdım oradan alıntı ile başlayayım.,26 Mar 2019
"ABD, Vatandaşları için:
6 Trilyon Dolarlık Paket açıkladı.
6 Trilyon Dolar yani  bir Amerikalı için 18 Bin Dolar'lık paket.
Paketin TL cinsinden kişi başına düşen kısmı 117,000 TL.
Yani Milli Gelirlerinin neredeyse %30'u kadar...",27 Mar 2020
"Norveç'in Nüfusu 5.3 Milyon.
Norveç Devlet Varlık Fonunda: 1 Trilyon Dolar birikti.
Kişi başına: 189 Bin Dolar düşüyor !
Corona Krizini Norveç vatandaşları konforlu atlatır...",27 Mar 2020
"Amerikan Üniversitesi MIT,
1 Milyar Dolar harcayarak yeni bir yapay zeka fakültesi kuruyor.
Sadece bir para fonu sahibinin verdiği yardım parası 350 Milyon Dolar.",16 Eki 2018
"Şimdi tam haber geldi.
ABD virüsün ekonomik tahribatını durdurabilmek için önce:
850 milyar dolar, sonra,
1 Trilyon dolar, sonra,
1.2 Trilyon dolar, sonra
1.3 Trilyon dolar harcayacağım dedi.
Şimdi de miktarı 2 Trilyon dolara çıkaracaklarını açıklıyorlar...",21 Mar 2020
"Cumhurbaşkanı:
Bağımsız Merkez Bankası,
Faiz dahil tüm araçların kullanılması,
Dış yatırım çekilmesi,
Yargı ve Hukuk reformu,
Güçlü Bağımsız Kurumlar,
diyince Dolar/TL düştü...
Hani DIŞ MİHRAKLAR dan artıyordu? Böylece bir şehir efsanesinin de sonuna gelindi. Trollerin gözü yaşlı",13 Kas 2020
"Dolar/TL, Dolara talep artınca artar.
Dolara talep, Türk şirket ve hükümeti Dolara ihtiyaç duyunca artar.
Şirketlerin Ve Hükümetin Dolar ihtiyacı, Cari açık artınca artar.
Cari açık, katma değerli ve ara mal üretemeyince artar.
Evrensel eğitim yoksa bunlar üretilemez, Dolar artar",23 Eyl 2018
"Hükümet ikilemde:
Faizi artırıp, piyasadaki TL’yi çekse,
Dolar/TL düşüyor ama inşaat sektörü batıyor, piyasa donuyor.
Vergiyi düşürüp, bir de piyasaya kredi püskürtse, piyasa canlanıyor ama Dolar/TL patlıyor.
İşte böyle Sakal-Bıyık arasında kalmamak için Yapısal reform diyoruz..!",31 Eki 2018
1) Londra piyasasında Dolar /TL swap faizleri %90 sonra da%200 leri geçti. Bu bir çok kişinin dikkatini çekti. Malum Finansal okur yazarlık seviyesi düşük olunca da bir çok bilgi kirliliği peş peşe geldi. Kısaca bu konuda yazacağım. Dün de yazdım oradan alıntı ile başlayayım.,26 Mar 2019
